2025-04-17 14:24:33 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-04-17 14:24:39 | INFO | django.utils.autoreload | D:\code\testapp\testapp\testapp\settings.py changed, reloading.
2025-04-17 14:24:39 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-04-17 14:24:45 | INFO | django.server | "GET / HTTP/1.1" 200 2852
2025-04-17 14:24:45 | INFO | django.server | "GET /static/tests/testspsychologist.css HTTP/1.1" 200 2608
2025-04-17 14:24:45 | INFO | django.server | "GET /static/tests/images/image2.png HTTP/1.1" 200 5448
2025-04-17 14:24:45 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:24:45 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:24:49 | INFO | django.server | "GET /users/login/ HTTP/1.1" 200 1430
2025-04-17 14:24:49 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:24:49 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:24:49 | INFO | django.server | "GET /static/users/auth.css HTTP/1.1" 200 4342
2025-04-17 14:24:49 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:24:52 | INFO | django.server | "POST /users/login/ HTTP/1.1" 302 0
2025-04-17 14:24:52 | INFO | django.server | "GET / HTTP/1.1" 200 3178
2025-04-17 14:24:52 | INFO | django.server | "GET /static/tests/images/image4.png HTTP/1.1" 200 4191
2025-04-17 14:26:42 | INFO | django.server | "GET /tests/add_question/3/ HTTP/1.1" 302 0
2025-04-17 14:26:42 | INFO | django.server | "GET / HTTP/1.1" 200 3178
2025-04-17 14:26:49 | INFO | django.server | "GET /users/logout/ HTTP/1.1" 302 0
2025-04-17 14:26:49 | INFO | django.server | "GET /users/login/ HTTP/1.1" 200 1430
2025-04-17 14:26:52 | INFO | django.server | "POST /users/login/ HTTP/1.1" 302 0
2025-04-17 14:26:52 | INFO | django.server | "GET / HTTP/1.1" 200 3383
2025-04-17 14:26:53 | INFO | django.server | "GET /tests/add_question/3/ HTTP/1.1" 200 4155
2025-04-17 14:26:53 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 6908
2025-04-17 14:27:18 | INFO | django.server | "POST /tests/add_question/3/ HTTP/1.1" 302 0
2025-04-17 14:27:18 | INFO | django.server | "GET / HTTP/1.1" 200 3383
2025-04-17 14:28:02 | WARNING | django.request | Not Found: /tests/update_question/.3
2025-04-17 14:28:02 | WARNING | django.server | "GET /tests/update_question/.3 HTTP/1.1" 404 4833
2025-04-17 14:28:04 | INFO | django.server | "GET /tests/update_question/3 HTTP/1.1" 301 0
2025-04-17 14:28:04 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 4718
2025-04-17 14:28:48 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7251
2025-04-17 14:28:48 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:28:48 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 6908
2025-04-17 14:28:48 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:28:48 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:28:48 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:28:48 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:29:18 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7311
2025-04-17 14:29:18 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:29:18 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:29:18 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 6908
2025-04-17 14:29:18 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:29:18 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:29:18 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:30:25 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7764
2025-04-17 14:30:25 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:30:25 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:30:25 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 7341
2025-04-17 14:30:25 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:30:25 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:30:25 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:30:37 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7764
2025-04-17 14:30:37 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:30:37 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:30:37 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 7340
2025-04-17 14:30:38 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:30:38 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:30:38 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:30:39 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7764
2025-04-17 14:30:39 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:30:39 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
2025-04-17 14:30:39 | INFO | django.server | "GET /static/tests/create.css HTTP/1.1" 200 7340
2025-04-17 14:30:39 | INFO | django.server | "GET /static/users/images/DownBlob.png HTTP/1.1" 200 3802
2025-04-17 14:30:39 | WARNING | django.request | Not Found: /favicon.ico
2025-04-17 14:30:39 | WARNING | django.server | "GET /favicon.ico HTTP/1.1" 404 2674
2025-04-17 14:30:49 | INFO | django.server | "GET /tests/update_question/3/ HTTP/1.1" 200 7764
2025-04-17 14:30:49 | INFO | django.server | "GET /static/users/images/LeftBlob.png HTTP/1.1" 200 3218
2025-04-17 14:30:49 | INFO | django.server | "GET /static/users/images/UpBlob.png HTTP/1.1" 200 2867
